name,colour
Argentina,#E8D7F1
Australia,#96DCC7
Belgium,#233D4D
Brazil,#201E1F
Colombia,#619B8A
Costa Rica,#0E273C
Croatia,#A167A5
Denmark,#008585
Egypt,#E5857B
England,#FE7F2D
France,#74A892
Germany,#50B2C0
Iceland,#4A306D
Iran,#E5C185
Japan,#EF8354
Mexico,#2EC4B6
Morocco,#F29C50
Nigeria,#D3BCCC
Panama,#A1C181
Peru,#72aba5
Poland,#4F5D75
Portugal,#C7522A
Russia,#1F363D
Saudi Arabia,#D1625C
Senegal,#BFC0C0
Serbia,#FAAA8D
South Korea,#FF9F1C
Spain,#FBF2C4
Sweden,#FFBF69
Switzerland,#FEEFDD
Tunisia,#FCCA46
Uruguay,#40798C
